0.00,0.00
0.18,0.17
0.55,0.52
0.75,0.72
0.85,0.81
0.92,0.86
0.97,0.90
0.98,0.92
0.99,0.93
0.99,0.94
1.01,0.94
1.02,0.95
1.01,0.94
1.01,0.95
1.02,0.95
1.02,0.97
1.01,0.93
1.02,0.95
1.01,0.94
1.02,0.97
1.02,0.97
1.03,0.97
1.02,0.95
1.02,0.95
1.02,0.97
1.02,0.97
1.02,0.95
1.02,0.97
1.02,0.95
1.02,0.95
1.01,0.94
1.01,0.95
1.02,0.97
1.02,0.97
1.03,0.97
1.03,0.97
1.02,0.95
1.02,0.97
1.03,0.97
1.03,0.97
1.03,0.97
1.03,0.97
1.03,0.97
1.03,0.97
1.02,0.97
1.03,0.97
1.02,0.95
1.02,0.95
1.02,0.97
1.02,0.95
1.03,0.97
1.03,0.98
1.03,0.97
1.03,0.97
1.03,0.97
1.03,0.97
1.03,0.97
1.04,0.97
1.03,0.97
1.03,0.97
1.01,0.95
1.02,0.95
1.03,0.97
1.03,0.97
1.04,0.98
1.04,0.97
1.03,0.97
1.03,0.98
1.04,0.97
1.04,0.97
1.03,0.97
1.04,0.98
1.03,0.97
1.03,0.98
1.03,0.98
1.04,0.98
1.02,0.95
1.02,0.95
1.02,0.97
1.03,0.97
1.03,0.97
1.03,0.97
1.04,0.97
1.03,0.97
1.04,0.97
1.03,0.97
1.04,0.97
1.04,0.98
1.04,0.98
1.04,0.98
1.01,0.95
1.02,0.95
1.03,0.97
1.03,0.97
1.04,0.97
1.04,0.98
1.04,0.98
1.03,0.97
1.03,0.98
1.04,0.98
1.04,0.98
1.04,0.98
1.04,0.98
1.04,0.98
1.03,0.97
1.04,0.98
1.02,0.95
1.03,0.95
1.03,0.97
1.03,0.97
1.03,0.97
1.04,0.98
1.04,0.98
1.04,0.98
1.03,0.98
1.04,0.98
1.04,0.98
1.04,0.98
1.06,0.98
1.03,0.98
1.03,0.95
1.03,0.95
1.03,0.98
1.03,0.97
1.04,0.97
1.06,0.98
1.03,0.97
1.04,0.98
1.04,0.97
1.06,0.98
1.06,0.98
1.04,0.97
1.04,0.98
1.04,0.98
1.03,0.97
1.04,0.98
1.01,0.95
1.02,0.97
1.03,0.98
1.02,0.98
1.03,0.97